Id,LotArea,Utilities,LotConfig,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Foundation,BsmtExposure,TotalBsmtSF,Heating,CentralAir,LowQualFinSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,Fence,YrSold,SalePrice
12,11924,AllPub,Inside,1Fam,2Story,9,2005,2006,PConc,No,1175,GasA,Y,0,3,0,4,1,11,2,BuiltIn,3,Y,0,NA,2006,345000
13,12968,AllPub,Inside,1Fam,1Story,5,1962,1962,CBlock,No,912,GasA,Y,0,1,0,2,1,4,0,Detchd,1,Y,0,NA,2008,144000
14,10652,AllPub,Inside,1Fam,1Story,7,2006,2007,PConc,Av,1494,GasA,Y,0,2,0,3,1,7,1,Attchd,3,Y,0,NA,2007,279500
15,10920,AllPub,Corner,1Fam,1Story,6,1960,1960,CBlock,No,1253,GasA,Y,0,1,1,2,1,5,1,Attchd,1,Y,0,GdWo,2008,157000
16,6120,AllPub,Corner,1Fam,1.5Unf,7,1929,2001,BrkTil,No,832,GasA,Y,0,1,0,2,1,5,0,Detchd,2,Y,0,GdPrv,2007,132000
17,11241,AllPub,CulDSac,1Fam,1Story,6,1970,1970,CBlock,No,1004,GasA,Y,0,1,0,2,1,5,1,Attchd,2,Y,0,NA,2010,149000
18,10791,AllPub,Inside,Duplex,1Story,4,1967,1967,Slab,NA,0,GasA,Y,0,2,0,2,2,6,0,CarPort,2,Y,0,NA,2006,90000
19,13695,AllPub,Inside,1Fam,1Story,5,2004,2004,PConc,No,1114,GasA,Y,0,1,1,3,1,6,0,Detchd,2,Y,0,NA,2008,159000
20,7560,AllPub,Inside,1Fam,1Story,5,1958,1965,CBlock,No,1029,GasA,Y,0,1,0,3,1,6,0,Attchd,1,Y,0,MnPrv,2009,139000
21,14215,AllPub,Corner,1Fam,2Story,8,2005,2006,PConc,Av,1158,GasA,Y,0,3,1,4,1,9,1,BuiltIn,3,Y,0,NA,2006,325300
22,7449,AllPub,Inside,1Fam,1.5Unf,7,1930,1950,PConc,No,637,GasA,Y,0,1,0,3,1,6,1,Attchd,1,N,0,GdPrv,2007,139400
23,9742,AllPub,Inside,1Fam,1Story,8,2002,2002,PConc,No,1777,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2008,230000
24,4224,AllPub,Inside,TwnhsE,1Story,5,1976,1976,PConc,No,1040,GasA,Y,0,1,0,3,1,6,1,Attchd,2,Y,0,NA,2007,129900
25,8246,AllPub,Inside,1Fam,1Story,5,1968,2001,CBlock,Mn,1060,GasA,Y,0,1,0,3,1,6,1,Attchd,1,Y,0,MnPrv,2010,154000
26,14230,AllPub,Corner,1Fam,1Story,8,2007,2007,PConc,No,1566,GasA,Y,0,2,0,3,1,7,1,Attchd,3,Y,0,NA,2009,256300
27,7200,AllPub,Corner,1Fam,1Story,5,1951,2000,CBlock,Mn,900,GasA,Y,0,1,0,3,1,5,0,Detchd,2,Y,0,NA,2010,134800
28,11478,AllPub,Inside,1Fam,1Story,8,2007,2008,PConc,No,1704,GasA,Y,0,2,0,3,1,7,1,Attchd,3,Y,0,NA,2010,306000
29,16321,AllPub,CulDSac,1Fam,1Story,5,1957,1997,CBlock,Gd,1484,GasA,Y,0,1,0,2,1,6,2,Attchd,1,Y,0,NA,2006,207500
30,6324,AllPub,Inside,1Fam,1Story,4,1927,1950,BrkTil,No,520,GasA,N,0,1,0,1,1,4,0,Detchd,1,Y,0,NA,2008,68500
31,8500,AllPub,Inside,1Fam,2Story,4,1920,1950,BrkTil,No,649,GasA,N,0,1,0,3,1,6,0,Detchd,1,N,0,MnPrv,2008,40000
32,8544,AllPub,CulDSac,1Fam,1Story,5,1966,2006,CBlock,No,1228,GasA,Y,0,1,1,3,1,6,0,Attchd,1,Y,0,MnPrv,2008,149350
33,11049,AllPub,Corner,1Fam,1Story,8,2007,2007,PConc,Av,1234,GasA,Y,0,2,0,3,1,7,0,Attchd,2,Y,0,NA,2008,179900
34,10552,AllPub,Inside,1Fam,1Story,5,1959,1959,CBlock,No,1398,GasA,Y,0,1,1,4,1,6,1,Attchd,2,Y,0,NA,2010,165500
35,7313,AllPub,Inside,TwnhsE,1Story,9,2005,2005,PConc,No,1561,GasA,Y,0,2,0,2,1,6,1,Attchd,2,Y,0,NA,2007,277500
36,13418,AllPub,Inside,1Fam,2Story,8,2004,2005,PConc,Av,1117,GasA,Y,0,3,1,4,1,9,1,BuiltIn,3,Y,0,NA,2006,309000
37,10859,AllPub,Corner,1Fam,1Story,5,1994,1995,PConc,No,1097,GasA,Y,0,1,1,3,1,6,0,Attchd,2,Y,0,NA,2009,145000
38,8532,AllPub,Inside,1Fam,1Story,5,1954,1990,CBlock,No,1297,GasA,Y,0,1,0,3,1,5,1,Attchd,2,Y,0,NA,2009,153000
39,7922,AllPub,Inside,1Fam,1Story,5,1953,2007,CBlock,No,1057,GasA,Y,0,1,0,3,1,5,0,Detchd,1,Y,0,NA,2010,109000
40,6040,AllPub,Inside,Duplex,1Story,4,1955,1955,PConc,NA,0,GasA,N,0,2,0,2,2,6,0,NA,0,N,0,NA,2008,82000
41,8658,AllPub,Inside,1Fam,1Story,6,1965,1965,CBlock,No,1088,GasA,Y,0,2,0,3,1,6,1,Attchd,2,Y,0,GdWo,2006,160000
42,16905,AllPub,Inside,1Fam,1Story,5,1959,1959,CBlock,Gd,1350,GasA,Y,0,1,1,2,1,5,2,Attchd,1,P,0,NA,2007,170000
43,9180,AllPub,CulDSac,1Fam,SFoyer,5,1983,1983,CBlock,Av,840,GasA,Y,0,1,0,2,1,5,0,Attchd,2,Y,0,MnPrv,2007,144000
44,9200,AllPub,CulDSac,1Fam,1Story,5,1975,1980,CBlock,Av,938,GasA,Y,0,1,0,3,1,5,0,Detchd,1,Y,0,MnPrv,2008,130250
45,7945,AllPub,Inside,1Fam,1Story,5,1959,1959,CBlock,No,1150,GasA,Y,0,1,0,3,1,6,0,Attchd,1,Y,0,NA,2006,141000
46,7658,AllPub,Inside,TwnhsE,1Story,9,2005,2005,PConc,No,1752,GasA,Y,0,2,0,2,1,6,1,Attchd,2,Y,0,NA,2010,319900
47,12822,AllPub,CulDSac,1Fam,1.5Fin,7,2003,2003,PConc,No,1434,GasA,Y,0,1,1,1,1,6,1,Attchd,2,Y,0,NA,2009,239686
48,11096,AllPub,Inside,1Fam,1Story,8,2006,2006,PConc,Av,1656,GasA,Y,0,2,0,3,1,7,0,Attchd,3,Y,0,NA,2007,249700
49,4456,AllPub,Inside,2fmCon,2Story,4,1920,2008,BrkTil,No,736,GasA,Y,0,2,0,2,3,8,0,NA,0,N,0,NA,2009,113000
50,7742,AllPub,Inside,1Fam,1Story,5,1966,1966,CBlock,No,955,GasA,Y,0,1,0,3,1,6,0,Attchd,1,Y,0,MnPrv,2007,127000
51,13869,AllPub,Corner,1Fam,2Story,6,1997,1997,PConc,Av,794,GasA,Y,0,2,0,3,1,6,0,Attchd,2,Y,0,NA,2007,177000
52,6240,AllPub,Inside,1Fam,1.5Fin,6,1934,1950,PConc,No,816,GasA,Y,360,1,0,3,1,6,1,Detchd,2,Y,0,MnPrv,2006,114500
53,8472,AllPub,Corner,Duplex,1Story,5,1963,1963,CBlock,Gd,816,GasA,N,0,1,0,2,1,5,0,CarPort,2,Y,0,NA,2010,110000
54,50271,AllPub,Inside,1Fam,1Story,9,1981,1987,CBlock,Gd,1842,GasA,Y,0,0,1,0,1,5,1,Attchd,3,Y,0,NA,2006,385000
55,7134,AllPub,Inside,1Fam,SLvl,5,1955,1955,CBlock,No,384,GasA,Y,0,1,0,3,1,6,1,Detchd,2,Y,0,MnPrv,2007,130000
56,10175,AllPub,Inside,1Fam,1Story,6,1964,1964,CBlock,No,1425,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2008,180500
57,2645,AllPub,Inside,Twnhs,2Story,8,1999,2000,PConc,No,970,GasA,Y,0,2,1,3,1,7,0,Attchd,2,Y,0,NA,2009,172500
58,11645,AllPub,Corner,1Fam,2Story,7,2004,2004,PConc,No,860,GasA,Y,0,2,1,3,1,7,0,Attchd,2,Y,0,NA,2006,196500
59,13682,AllPub,CulDSac,1Fam,2Story,10,2006,2006,PConc,Gd,1410,GasA,Y,0,3,1,3,1,10,1,BuiltIn,3,Y,0,NA,2006,438780
60,7200,AllPub,Inside,1Fam,1Story,5,1972,1972,CBlock,Av,780,GasA,Y,0,1,0,2,1,4,0,Detchd,1,Y,0,MnPrv,2008,124900
61,13072,AllPub,Inside,1Fam,1Story,6,2004,2004,PConc,No,1158,GasA,Y,0,1,1,3,1,5,0,Detchd,2,Y,0,NA,2006,158000
62,7200,AllPub,Inside,1Fam,2.5Unf,5,1920,1996,BrkTil,No,530,GasA,N,0,1,0,3,1,6,0,Detchd,1,N,0,NA,2007,101000
63,6442,AllPub,Inside,TwnhsE,1Story,8,2006,2006,PConc,Mn,1370,GasA,Y,0,2,0,2,1,6,1,Attchd,2,Y,0,NA,2007,202500
64,10300,AllPub,Inside,1Fam,2Story,7,1921,1950,BrkTil,No,576,GasA,Y,0,2,0,3,1,9,0,Detchd,2,Y,0,GdPrv,2010,140000
65,9375,AllPub,Inside,1Fam,2Story,7,1997,1998,PConc,No,1057,GasA,Y,0,2,1,3,1,8,0,Attchd,2,Y,0,GdPrv,2009,219500
66,9591,AllPub,Inside,1Fam,2Story,8,2004,2005,PConc,Av,1143,GasA,Y,0,2,1,4,1,9,1,BuiltIn,3,Y,0,NA,2007,317000
67,19900,AllPub,Inside,1Fam,1Story,7,1970,1989,CBlock,Gd,1947,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2010,180000
68,10665,AllPub,Inside,1Fam,1Story,7,2003,2003,PConc,Av,1453,GasA,Y,0,2,0,3,1,7,0,Attchd,2,Y,0,NA,2007,226000
69,4608,AllPub,Corner,1Fam,1Story,4,1945,1950,CBlock,No,747,GasA,Y,0,1,0,2,1,4,0,Attchd,1,Y,0,NA,2010,80000
70,15593,AllPub,Corner,1Fam,1.5Fin,7,1953,1953,CBlock,No,1304,GasW,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2006,225000
71,13651,AllPub,Inside,1Fam,1Story,7,1973,1973,CBlock,Gd,2223,GasA,Y,0,2,0,3,1,8,2,Attchd,2,Y,0,NA,2007,244000
72,7599,AllPub,Corner,1Fam,1Story,4,1982,2006,CBlock,No,845,GasA,Y,0,1,0,2,1,4,0,Detchd,2,Y,0,NA,2007,129500
73,10141,AllPub,Corner,1Fam,2Story,7,1998,1998,PConc,No,832,GasA,Y,0,2,1,3,1,7,1,Attchd,2,Y,0,NA,2009,185000
74,10200,AllPub,Inside,1Fam,1Story,5,1954,2003,CBlock,No,1086,GasA,Y,0,1,0,3,1,6,0,Attchd,2,Y,0,GdWo,2010,144900
75,5790,AllPub,Corner,1Fam,2Story,3,1915,1950,CBlock,No,840,GasA,N,0,2,0,3,2,8,0,Detchd,1,Y,0,NA,2010,107400
76,1596,AllPub,Inside,Twnhs,SLvl,4,1973,1973,CBlock,Gd,462,GasA,Y,0,1,0,2,1,5,0,BuiltIn,1,Y,0,GdWo,2009,91000
77,8475,AllPub,Inside,1Fam,1Story,4,1956,1956,CBlock,No,952,GasA,Y,0,1,0,2,1,4,0,Detchd,1,Y,0,NA,2008,135750
78,8635,AllPub,Inside,1Fam,1.5Fin,5,1948,2001,CBlock,No,672,GasA,Y,0,1,0,2,1,6,0,Detchd,1,Y,0,MnPrv,2008,127000
79,10778,AllPub,Inside,Duplex,1Story,4,1968,1968,CBlock,No,1768,GasA,N,0,2,0,4,2,8,0,NA,0,Y,0,NA,2010,136500
80,10440,AllPub,Corner,1Fam,2Story,5,1910,1981,PConc,No,440,GasA,Y,0,1,1,2,1,5,0,Detchd,2,Y,0,MnPrv,2009,110000
81,13000,AllPub,Corner,1Fam,2Story,6,1968,1968,CBlock,No,896,GasA,Y,0,2,1,4,1,8,1,Attchd,1,Y,0,NA,2009,193500
82,4500,AllPub,FR2,TwnhsE,1Story,6,1998,1998,PConc,No,1237,GasA,Y,0,2,0,2,1,5,0,Attchd,2,Y,0,NA,2006,153500
83,10206,AllPub,Inside,1Fam,1Story,8,2007,2007,PConc,No,1563,GasA,Y,0,2,0,3,1,6,1,Attchd,3,Y,0,NA,2008,245000
84,8892,AllPub,Inside,1Fam,1Story,5,1960,1960,CBlock,No,1065,GasA,Y,0,1,1,3,1,6,0,Detchd,2,Y,0,NA,2007,126500
85,8530,AllPub,Inside,1Fam,SLvl,7,1995,1996,PConc,No,384,GasA,Y,0,2,1,3,1,7,1,BuiltIn,2,Y,0,NA,2009,168500
86,16059,AllPub,Corner,1Fam,2Story,8,1991,1992,CBlock,No,1288,GasA,Y,0,2,1,4,1,9,1,Attchd,2,Y,0,NA,2006,260000
87,11911,AllPub,Inside,1Fam,2Story,6,2005,2005,PConc,Av,684,GasA,Y,0,2,1,3,1,6,1,BuiltIn,2,Y,0,NA,2009,174000
88,3951,AllPub,Corner,TwnhsE,2Story,6,2009,2009,PConc,Av,612,GasA,Y,0,2,1,2,1,4,0,Detchd,2,Y,0,NA,2009,164500
89,8470,AllPub,Corner,1Fam,1.5Fin,3,1915,1982,CBlock,No,1013,GasA,N,513,1,0,2,1,6,0,NA,0,N,0,MnPrv,2009,85000
90,8070,AllPub,Inside,1Fam,1Story,4,1994,1995,PConc,No,990,GasA,Y,0,1,0,3,1,5,0,NA,0,Y,0,NA,2007,123600
91,7200,AllPub,Inside,1Fam,1Story,4,1950,1950,Slab,NA,0,GasA,Y,0,1,0,2,1,4,0,Detchd,2,Y,0,NA,2006,109900
92,8500,AllPub,Inside,1Fam,1Story,5,1961,1961,CBlock,No,1235,GasA,Y,0,1,0,2,1,6,0,Attchd,2,Y,0,GdWo,2006,98600
93,13360,AllPub,Inside,1Fam,1Story,5,1921,2006,BrkTil,No,876,GasA,Y,0,1,0,2,1,5,0,Detchd,2,Y,0,NA,2009,163500
94,7200,AllPub,Corner,2fmCon,2.5Unf,6,1910,1998,BrkTil,Mn,1214,GasW,N,0,2,0,4,2,9,1,Detchd,2,Y,0,NA,2007,133900
95,9337,AllPub,Inside,1Fam,2Story,6,1997,1997,PConc,No,824,GasA,Y,0,2,1,3,1,7,0,Attchd,2,Y,0,NA,2007,204750
96,9765,AllPub,Corner,1Fam,2Story,6,1993,1993,PConc,No,680,GasA,Y,0,2,1,3,1,6,1,BuiltIn,2,Y,0,NA,2009,185000
97,10264,AllPub,Inside,1Fam,1Story,7,1999,1999,PConc,Av,1588,GasA,Y,0,2,0,3,1,6,0,Attchd,2,Y,0,NA,2006,214000
98,10921,AllPub,Inside,1Fam,1Story,4,1965,1965,CBlock,No,960,GasA,Y,0,1,0,3,1,6,0,Attchd,1,P,0,NA,2007,94750
99,10625,AllPub,Corner,1Fam,1Story,5,1920,1950,BrkTil,No,458,GasA,N,0,1,0,2,1,5,0,Basment,1,Y,0,NA,2010,83000
100,9320,AllPub,Inside,1Fam,1Story,4,1959,1959,CBlock,No,950,GasA,Y,0,1,1,3,1,6,0,NA,0,Y,0,NA,2010,128950
101,10603,AllPub,Inside,1Fam,1Story,6,1977,2001,PConc,Mn,1610,GasA,Y,0,2,0,3,1,6,2,Attchd,2,Y,0,NA,2010,205000
102,9206,AllPub,Inside,1Fam,2Story,6,1985,1985,CBlock,No,741,GasA,Y,0,2,1,3,1,7,1,Attchd,2,Y,0,NA,2010,178000
103,7018,AllPub,Inside,Duplex,1Story,5,1979,1979,Slab,NA,0,GasA,Y,0,2,0,4,2,8,0,Attchd,2,Y,0,NA,2009,118964
104,10402,AllPub,Corner,1Fam,1Story,7,2009,2009,PConc,No,1226,GasA,Y,0,2,0,3,1,6,0,Attchd,3,Y,0,NA,2010,198900
105,7758,AllPub,Corner,1Fam,1.5Fin,7,1931,1950,PConc,No,1040,GasA,Y,0,1,1,4,1,7,2,Detchd,1,Y,0,NA,2007,169500
106,9375,AllPub,Inside,1Fam,2Story,8,2003,2004,PConc,No,1053,GasA,Y,0,2,1,3,1,9,1,Attchd,2,Y,0,NA,2008,250000
107,10800,AllPub,Inside,1Fam,1Story,4,1885,1995,BrkTil,No,641,GasA,Y,0,1,0,2,1,6,0,Detchd,1,N,0,NA,2007,100000
108,6000,AllPub,Inside,1Fam,1Story,5,1948,1950,CBlock,No,789,GasA,Y,0,1,0,2,1,5,0,Detchd,1,Y,0,NA,2008,115000
109,8500,AllPub,Corner,1Fam,1.5Fin,5,1919,2005,CBlock,No,793,GasW,N,0,2,0,3,1,7,0,NA,0,N,0,NA,2007,115000
110,11751,AllPub,Inside,1Fam,1Story,6,1977,1977,CBlock,No,1844,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,MnPrv,2010,190000
111,9525,AllPub,Inside,1Fam,1.5Fin,6,1954,1972,CBlock,No,994,GasA,Y,0,2,0,4,1,7,0,Attchd,1,Y,0,NA,2006,136900
112,7750,AllPub,Inside,1Fam,SLvl,7,2000,2000,PConc,No,384,GasA,Y,0,2,1,3,1,7,1,BuiltIn,2,Y,0,NA,2010,180000
113,9965,AllPub,Inside,1Fam,2Story,7,2007,2007,PConc,Av,1264,GasA,Y,0,2,1,4,1,10,1,BuiltIn,3,Y,0,NA,2007,383970
114,21000,AllPub,Corner,1Fam,1Story,6,1953,1953,CBlock,Mn,1809,GasA,Y,0,2,0,3,1,7,2,Basment,2,Y,0,MnPrv,2007,217000
115,7259,AllPub,Inside,1Fam,2Story,6,1945,2002,CBlock,No,1028,GasA,Y,0,2,1,3,1,9,1,Detchd,1,Y,0,MnPrv,2007,259500
116,3230,AllPub,Corner,TwnhsE,2Story,6,1999,1999,PConc,No,729,GasA,Y,0,2,1,2,1,5,1,Detchd,2,Y,0,NA,2007,176000
117,11616,AllPub,Inside,1Fam,1Story,5,1962,1962,CBlock,No,1092,GasA,Y,0,1,0,3,1,6,1,Attchd,1,Y,0,NA,2009,139000
118,8536,AllPub,Corner,1Fam,1Story,5,2006,2007,PConc,No,1125,GasA,Y,0,1,1,2,1,5,0,Attchd,2,Y,0,NA,2007,155000
119,12376,AllPub,Corner,1Fam,2Story,7,1990,1990,PConc,Mn,1673,GasA,Y,0,3,0,5,1,11,2,Attchd,3,Y,0,NA,2010,320000
120,8461,AllPub,Inside,1Fam,2Story,6,2005,2006,PConc,No,728,GasA,Y,0,2,1,3,1,8,1,Attchd,2,Y,0,NA,2006,163990
121,21453,AllPub,CulDSac,1Fam,SLvl,6,1969,1969,CBlock,Gd,938,GasA,Y,0,1,0,1,1,4,2,Attchd,2,Y,0,NA,2006,180000
122,6060,AllPub,Inside,1Fam,1.5Fin,4,1939,1950,PConc,No,732,GasA,Y,0,1,0,3,1,4,0,Detchd,1,P,0,MnPrv,2007,100000
123,9464,AllPub,Corner,1Fam,1Story,6,1958,1958,CBlock,No,1080,GasA,Y,0,1,0,3,1,5,0,Attchd,1,Y,0,NA,2008,136000
124,7892,AllPub,Inside,TwnhsE,1Story,6,1993,1993,PConc,No,1199,GasA,Y,0,2,0,2,1,5,0,Attchd,2,Y,0,NA,2008,153900
125,17043,AllPub,CulDSac,1Fam,1Story,6,1979,1998,CBlock,No,1362,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2009,181000
126,6780,AllPub,Inside,2fmCon,1.5Fin,6,1935,1982,CBlock,Av,520,GasA,N,234,1,0,2,1,5,0,NA,0,N,0,NA,2006,84500
127,4928,AllPub,Inside,TwnhsE,1Story,6,1976,1976,CBlock,No,1078,GasA,Y,0,2,0,2,1,5,1,Attchd,2,Y,0,NA,2007,128000
128,4388,AllPub,Inside,1Fam,1.5Unf,5,1930,1950,BrkTil,No,672,GasA,Y,0,1,0,3,1,5,1,NA,0,N,0,NA,2007,87000
129,7590,AllPub,Inside,1Fam,2Story,6,1966,1966,CBlock,No,660,GasA,Y,0,1,1,3,1,6,1,Attchd,2,Y,0,NA,2006,155000
130,8973,AllPub,Inside,1Fam,1Story,5,1958,1991,CBlock,No,1008,GasA,Y,0,1,1,3,1,6,0,2Types,2,Y,0,MnWw,2006,150000
131,14200,AllPub,Corner,1Fam,2Story,7,1966,1966,CBlock,No,924,GasA,Y,0,2,1,4,1,8,2,Attchd,2,Y,0,GdPrv,2006,226000
132,12224,AllPub,Corner,1Fam,2Story,6,2000,2000,PConc,No,992,GasA,Y,0,2,1,3,1,7,1,BuiltIn,2,Y,0,NA,2009,244000
133,7388,AllPub,Corner,1Fam,1Story,5,1959,2002,CBlock,No,1063,GasA,Y,0,1,0,3,1,7,0,Detchd,2,Y,0,NA,2007,150750
134,6853,AllPub,Inside,1Fam,1Story,8,2001,2002,PConc,No,1267,GasA,Y,0,2,0,2,1,6,0,Attchd,2,Y,0,NA,2009,220000
135,10335,AllPub,Inside,1Fam,1Story,5,1968,1993,CBlock,No,1461,GasA,Y,0,2,1,3,1,7,1,Attchd,2,Y,0,MnPrv,2006,180000
136,10400,AllPub,Inside,1Fam,1Story,7,1970,1970,PConc,No,1304,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,MnPrv,2008,174000
137,10355,AllPub,Corner,1Fam,1Story,5,1967,1967,CBlock,No,1214,GasA,Y,0,2,0,3,1,5,1,Attchd,1,Y,0,NA,2007,143000
138,11070,AllPub,Inside,Duplex,1Story,7,1988,1989,CBlock,No,1907,GasA,Y,0,3,0,5,2,9,0,2Types,3,Y,0,NA,2006,171000
139,9066,AllPub,Inside,1Fam,2Story,8,1999,2000,PConc,Mn,1004,GasA,Y,0,2,1,3,1,7,2,Attchd,3,Y,0,GdPrv,2008,230000
140,15426,AllPub,Inside,1Fam,2Story,6,1997,1997,PConc,No,928,GasA,Y,0,2,1,3,1,7,0,Attchd,2,Y,0,MnPrv,2009,231500
141,10500,AllPub,FR2,1Fam,1Story,4,1971,1971,CBlock,No,864,GasA,Y,0,1,0,3,1,5,1,NA,0,Y,0,NA,2010,115000
142,11645,AllPub,Inside,1Fam,1Story,7,2005,2005,PConc,Av,1734,GasA,Y,0,2,0,3,1,7,0,Attchd,2,Y,0,NA,2006,260000
143,8520,AllPub,Corner,1Fam,1.5Fin,5,1952,1952,CBlock,No,910,GasA,Y,0,2,0,4,1,6,0,Detchd,2,Y,0,MnPrv,2010,166000
144,10335,AllPub,Inside,1Fam,1Story,7,1999,1999,PConc,Gd,1490,GasA,Y,0,2,0,3,1,6,0,Attchd,2,Y,0,NA,2009,204000
145,9100,AllPub,Inside,Duplex,1Story,5,1963,1963,CBlock,No,1728,GasA,Y,0,2,0,6,2,10,0,Detchd,2,Y,0,NA,2006,125000
146,2522,AllPub,Inside,Twnhs,2Story,6,2004,2006,PConc,No,970,GasA,Y,0,2,0,3,1,7,0,Detchd,2,Y,0,NA,2006,130000
147,6120,AllPub,Corner,1Fam,1Story,5,1931,1993,BrkTil,No,715,GasA,Y,0,1,0,2,1,5,0,Detchd,1,Y,0,NA,2009,105000
148,9505,AllPub,CulDSac,1Fam,2Story,7,2001,2001,PConc,No,884,GasA,Y,0,2,1,3,1,8,1,BuiltIn,2,Y,0,NA,2010,222500
149,7500,AllPub,Inside,1Fam,1Story,7,2004,2005,PConc,No,1080,GasA,Y,0,1,0,3,1,6,0,NA,0,Y,0,NA,2008,141000
150,6240,AllPub,Inside,1Fam,1.5Fin,5,1936,1950,BrkTil,No,896,GasA,Y,0,1,0,3,1,7,0,Detchd,1,Y,0,NA,2006,115000
151,10356,AllPub,Corner,1Fam,1Story,5,1975,1975,CBlock,Av,969,GasA,Y,0,1,1,3,1,5,0,Attchd,2,Y,0,MnPrv,2007,122000
152,13891,AllPub,Inside,1Fam,1Story,8,2007,2008,PConc,Gd,1710,GasA,Y,0,2,0,2,1,6,1,Attchd,3,Y,0,NA,2008,372402
153,14803,AllPub,CulDSac,1Fam,2Story,6,1971,1971,CBlock,No,825,GasA,Y,0,2,1,4,1,8,1,Attchd,2,Y,0,GdWo,2006,190000
154,13500,AllPub,Inside,1Fam,1Story,6,1960,1975,CBlock,Gd,1602,GasA,Y,0,1,0,1,1,4,1,Attchd,2,Y,0,NA,2008,235000
155,11340,AllPub,Corner,1Fam,1Story,6,1923,1950,BrkTil,No,1200,GasA,Y,0,1,0,4,1,7,0,Detchd,1,Y,0,NA,2006,125000
156,9600,AllPub,Corner,1Fam,1.5Fin,6,1924,1950,BrkTil,No,572,Grav,N,0,1,0,2,1,5,0,NA,0,N,0,NA,2008,79000
157,7200,AllPub,Inside,1Fam,1Story,5,1950,1950,CBlock,NA,0,GasA,Y,0,1,0,2,1,5,0,Detchd,2,Y,0,NA,2006,109500
158,12003,AllPub,Corner,1Fam,2Story,8,2009,2010,PConc,No,774,GasA,Y,0,2,1,4,1,8,1,BuiltIn,3,Y,0,NA,2010,269500
159,12552,AllPub,Corner,1Fam,2Story,7,2004,2005,PConc,No,991,GasA,Y,0,2,1,3,1,8,1,Attchd,2,Y,0,GdWo,2010,254900
160,19378,AllPub,Corner,1Fam,2Story,7,2005,2006,PConc,Mn,1392,GasA,Y,0,2,1,4,1,9,1,Attchd,2,Y,0,NA,2006,320000
161,11120,AllPub,CulDSac,1Fam,1Story,6,1984,1984,PConc,No,1232,GasA,Y,0,2,0,3,1,6,0,Attchd,2,Y,0,NA,2008,162500
162,13688,AllPub,Inside,1Fam,2Story,9,2003,2004,PConc,Av,1572,GasA,Y,0,2,1,3,1,10,2,BuiltIn,3,Y,0,NA,2008,412500
